Date	Country/Region	Province/State	Confirmed	Recovered	Deaths				
2020-04-04	Afghanistan		300	10	10				
2020-04-05	Afghanistan		338	15	12				
2020-04-06	Afghanistan		368	18	15				
2020-04-07	Afghanistan		424	18	16				
2020-04-08	Afghanistan		445	29	16				
2020-04-09	Afghanistan		485	32	17				
2020-04-10	Afghanistan		532	32	18				
2020-04-11	Afghanistan		556	32	18				
2020-04-12	Afghanistan		608	32	19				
2020-04-13	Afghanistan		666	32	22				
2020-04-14	Afghanistan		715	40	23				
2020-04-15	Afghanistan		785	43	29				
2020-04-16	Afghanistan		841	54	30				
2020-04-17	Afghanistan		907	99	30				
2020-04-18	Afghanistan		934	112	30				
2020-04-19	Afghanistan		997	131	33				
2020-04-20	Afghanistan		1027	135	36				
2020-04-21	Afghanistan		1093	150	36				
2020-04-22	Afghanistan		1177	166	40				
2020-04-23	Afghanistan		1236	179	40				
2020-04-24	Afghanistan		1331	188	43				
2020-04-25	Afghanistan		1464	188	47				
2020-04-26	Afghanistan		1532	207	52				
2020-04-27	Afghanistan		1704	220	58				
2020-04-28	Afghanistan		1830	228	59				
2020-04-29	Afghanistan		1940	252	61				
2020-04-30	Afghanistan		2127	260	64				
2020-05-01	Afghanistan		2291	310	68				
2020-05-02	Afghanistan		2470	331	72				
2020-05-03	Afghanistan		2705	345	85				
2020-05-04	Afghanistan		2895	397	90				
2020-05-05	Afghanistan		3225	421	95				
2020-05-06	Afghanistan		3393	458	104				
2020-05-07	Afghanistan		3564	468	106				
2020-05-08	Afghanistan		3781	472	109				
2020-05-09	Afghanistan		4042	502	115				
2020-05-10	Afghanistan		4403	558	120				
2020-05-11	Afghanistan		4687	558	122				
2020-05-12	Afghanistan		4968	610	127				
2020-05-13	Afghanistan		5227	648	132				
2020-05-14	Afghanistan		5640	691	136				
2020-05-15	Afghanistan		6054	745	153				
2020-05-16	Afghanistan		6403	745	168				
2020-05-17	Afghanistan		6665	778	170				
2020-05-18	Afghanistan		7073	801	173				
2020-05-19	Afghanistan		7654	850	178				
2020-05-20	Afghanistan		8146	930	188				
2020-05-21	Afghanistan		8677	938	194				
2020-05-22	Afghanistan		9219	996	206				
2020-05-23	Afghanistan		10001	1040	217				
2020-05-24	Afghanistan		10585	1075	219				
2020-05-25	Afghanistan		11176	1097	220				
2020-05-26	Afghanistan		11834	1128	221				
2020-05-27	Afghanistan		12459	1138	228				
2020-05-28	Afghanistan		13039	1209	236				
2020-05-29	Afghanistan		13662	1259	247				
2020-05-30	Afghanistan		14528	1303	250				
2020-05-31	Afghanistan		15208	1328	258				
2020-06-01	Afghanistan		15753	1428	266				
2020-06-02	Afghanistan		16512	1450	274				
2020-06-03	Afghanistan		17270	1522	298				
2020-06-04	Afghanistan		18057	1585	304				
2020-06-05	Afghanistan		18972	1762	313				
2020-06-06	Afghanistan		19554	1830	331				
2020-06-07	Afghanistan		20345	1875	361				
2020-06-08	Afghanistan		20920	2171	373				
2020-06-09	Afghanistan		21462	2651	388				
2020-06-10	Afghanistan		22146	3013	409				
2020-06-11	Afghanistan		22894	3326	430				
2020-06-12	Afghanistan		23550	3928	450				
2020-06-13	Afghanistan		24106	4201	455				
2020-06-14	Afghanistan		24770	4725	475				
2020-06-15	Afghanistan		25531	5164	482				
2020-06-16	Afghanistan		26314	5508	495				
2020-06-17	Afghanistan		26878	6158	508				
2020-06-18	Afghanistan		27536	7660	550				
2020-06-19	Afghanistan		27882	7962	552				
2020-06-20	Afghanistan		28428	8292	573				
2020-06-21	Afghanistan		28837	8764	585				
2020-06-22	Afghanistan		29147	8841	597				
2020-06-23	Afghanistan		29471	9260	617				
2020-06-24	Afghanistan		29705	9869	638				
2020-06-25	Afghanistan		30165	10174	674				
2020-06-26	Afghanistan		30441	10306	682				
2020-06-27	Afghanistan		30606	10674	716				
2020-06-28	Afghanistan		30957	12604	728				
2020-06-29	Afghanistan		31228	13934	740				
2020-06-30	Afghanistan		31507	14131	752				
2020-07-01	Afghanistan		31826	15651	780				
2020-07-02	Afghanistan		32012	16041	809				
2020-07-03	Afghanistan		32314	17331	821				
2020-07-04	Afghanistan		32662	19164	828				
2020-07-05	Afghanistan		32941	19366	866				
2020-07-06	Afghanistan		33180	20103	900				
2020-07-07	Afghanistan		33374	20179	922				
2020-07-08	Afghanistan		33584	20700	939				
2020-07-09	Afghanistan		33898	20847	959				
2020-07-10	Afghanistan		34184	20882	973				
2020-07-11	Afghanistan		34356	21135	996				
2020-07-12	Afghanistan		34441	21216	1012				
2020-07-13	Afghanistan		34595	21254	1040				
2020-07-14	Afghanistan		34730	21454	1064				
2020-07-15	Afghanistan		34984	22456	1096				
2020-07-16	Afghanistan		35060	22824	1117				
2020-07-17	Afghanistan		35219	23151	1149				
2020-07-18	Afghanistan		35279	23273	1166				
2020-07-19	Afghanistan		35453	23634	1183				
2020-07-20	Afghanistan		35493	23741	1185				
2020-07-21	Afghanistan		35605	23741	1188				
2020-07-22	Afghanistan		35717	23924	1192				
2020-07-23	Afghanistan		35918	24550	1213				
2020-07-24	Afghanistan		35978	24602	1227				
2020-07-25	Afghanistan		36026	24793	1249				
2020-07-26	Afghanistan		36147	25180	1261				
2020-07-27	Afghanistan		36253	25198	1271				
2020-07-28	Afghanistan		36358	25358	1272				
2020-07-29	Afghanistan		36463	25389	1273				
2020-07-30	Afghanistan		36532	25471	1283				
2020-07-31	Afghanistan		36665	25509	1284				
2020-08-01	Afghanistan		36700	25509	1285				
2020-08-02	Afghanistan		36701	25510	1286				
2020-08-03	Afghanistan		36737	25669	1290				
2020-08-04	Afghanistan		36773	25669	1290				
2020-08-05	Afghanistan		36820	25742	1296				
2020-08-06	Afghanistan		36928	25840	1301				
2020-08-07	Afghanistan		37006	25903	1310				
2020-08-08	Afghanistan		37046	25960	1315				
2020-08-09	Afghanistan		37083	25960	1321				
2020-08-10	Afghanistan		37153	26228	1329				
2020-08-11	Afghanistan		37260	26415	1346				
2020-08-12	Afghanistan		37336	26694	1356				
2020-08-13	Afghanistan		37422	26714	1365				
2020-08-14	Afghanistan		37497	26714	1370				
2020-08-15	Afghanistan		37542	27166	1371				
2020-08-16	Afghanistan		37590	27166	1376				
2020-08-17	Afghanistan		37667	27166	1378				
2020-08-18	Afghanistan		37710	27166	1382				
2020-08-19	Afghanistan		37750	27166	1384				
2020-08-20	Afghanistan		37852	27681	1386				
2020-08-21	Afghanistan		37885	28016	1386				
2020-08-22	Afghanistan		37944	28016	1386				
2020-08-23	Afghanistan		37990	28180	1388				
2020-08-24	Afghanistan		38045	28360	1390				
2020-08-25	Afghanistan		38061	28440	1398				
2020-08-26	Afghanistan		38103	29042	1402				
2020-08-27	Afghanistan		38119	29046	1402				
2020-08-28	Afghanistan		38130	29059	1403				
2020-08-29	Afghanistan		38133	29063	1403				
2020-08-30	Afghanistan		38155	29089	1403				
2020-08-31	Afghanistan		38159	29089	1403				
2020-09-01	Afghanistan		38193	29231	1407				
2020-09-02	Afghanistan		38243	29315	1410				
2020-09-03	Afghanistan		38288	29390	1410				
2020-09-04	Afghanistan		38304	29713	1410				
2020-09-05	Afghanistan		38324	30082	1410				
2020-09-06	Afghanistan		38398	30537	1413				
2020-09-07	Afghanistan		38494	30557	1416				
2020-09-08	Afghanistan		38520	30715	1419				
2020-09-09	Afghanistan		38544	31048	1421				
2020-09-10	Afghanistan		38572	31129	1421				
2020-09-11	Afghanistan		38606	31154	1421				
2020-09-12	Afghanistan		38641	31234	1421				
2020-09-13	Afghanistan		38716	31638	1421				
2020-09-14	Afghanistan		38772	32073	1427				
2020-09-15	Afghanistan		38815	32098	1428				
2020-09-16	Afghanistan		38855	32503	1438				
2020-09-17	Afghanistan		38872	32505	1438				
2020-09-18	Afghanistan		38897	32576	1439				
2020-09-19	Afghanistan		38919	32576	1439				
2020-09-20	Afghanistan		39044	32576	1443				
2020-09-21	Afghanistan		39074	32576	1446				
2020-09-22	Afghanistan		39096	32576	1447				
2020-09-23	Afghanistan		39145	32610	1448				
2020-09-24	Afghanistan		39170	32619	1453				
2020-09-25	Afghanistan		39186	32619	1453				
2020-09-26	Afghanistan		39192	32635	1455				
2020-09-27	Afghanistan		39227	32642	1455				
2020-09-28	Afghanistan		39239	32642	1458				
2020-09-29	Afghanistan		39254	32746	1460				
2020-09-30	Afghanistan		39268	32789	1460				
2020-10-01	Afghanistan		39285	32842	1460				
2020-10-02	Afghanistan		39290	32842	1460				
2020-10-03	Afghanistan		39297	32842	1464				
2020-10-04	Afghanistan		39341	32852	1464				
2020-10-05	Afghanistan		39422	32879	1468				
2020-10-06	Afghanistan		39486	32977	1469				
2020-10-07	Afghanistan		39548	33045	1471				
2020-10-08	Afghanistan		39616	33058	1472				
2020-10-09	Afghanistan		39693	33058	1474				
2020-10-10	Afghanistan		39703	33064	1475				
2020-10-11	Afghanistan		39799	33114	1479				
2020-10-12	Afghanistan		39870	33118	1481				
2020-10-13	Afghanistan		39928	33308	1482				
2020-10-14	Afghanistan		39994	33354	1483				
2020-10-15	Afghanistan		40026	33447	1483				
2020-10-16	Afghanistan		40088	33516	1487				
2020-10-17	Afghanistan		40141	33561	1490				
2020-10-18	Afghanistan		40200	33614	1494				
2020-10-19	Afghanistan		40287	33760	1499				
2020-10-20	Afghanistan		40369	33790	1501				
2020-10-21	Afghanistan		40510	33824	1503				
2020-10-22	Afghanistan		40626	33831	1507				
2020-10-23	Afghanistan		40687	34010	1509				
2020-10-24	Afghanistan		40768	34023	1513				
2020-10-25	Afghanistan		40833	34129	1516				
2020-10-26	Afghanistan		40937	34150	1520				
2020-10-27	Afghanistan		41032	34217	1525				
2020-10-28	Afghanistan		41145	34237	1531				
2020-10-29	Afghanistan		41268	34239	1534				
2020-10-30	Afghanistan		41334	34258	1535				
2020-10-31	Afghanistan		41425	34321	1538				
2020-11-01	Afghanistan		41501	34326	1538				
2020-11-02	Afghanistan		41633	34342	1544				
2020-11-03	Afghanistan		41728	34355	1547				
2020-11-04	Afghanistan		41814	34362	1551				
2020-11-05	Afghanistan		41935	34440	1557				
2020-11-06	Afghanistan		41975	34440	1557				
2020-11-07	Afghanistan		42033	34446	1559				
2020-11-08	Afghanistan		42159	34458	1565				
2020-11-09	Afghanistan		42297	34721	1577				
2020-11-10	Afghanistan		42463	34954	1580				
2020-11-11	Afghanistan		42609	34967	1584				
2020-11-12	Afghanistan		42795	35024	1594				
2020-11-13	Afghanistan		42969	35036	1598				
2020-11-14	Afghanistan		43035	35067	1608				
2020-11-15	Afghanistan		43240	35092	1620				
2020-11-16	Afghanistan		43468	35137	1635				
2020-11-17	Afghanistan		43681	35160	1641				
2020-11-18	Afghanistan		43924	35295	1648				
2020-11-19	Afghanistan		44177	35350	1653				
2020-11-20	Afghanistan		44363	35370	1666				
2020-11-21	Afghanistan		44503	35422	1678				
2020-11-22	Afghanistan		44706	35934	1690				
2020-11-23	Afghanistan		44988	35976	1702				
2020-11-24	Afghanistan		45174	36122	1715				
2020-11-25	Afghanistan		45384	36145	1728				
2020-11-26	Afghanistan		45600	36232	1737				
2020-11-27	Afghanistan		45723	36295	1740				
2020-11-28	Afghanistan		45844	36709	1752				
2020-11-29	Afghanistan		46116	36716	1774				
2020-11-30	Afghanistan		46274	36831	1795				
2020-12-01	Afghanistan		46516	36946	1822				
2020-12-02	Afghanistan		46718	37218	1841				
2020-12-03	Afghanistan		46837	37260	1846				
2020-12-04	Afghanistan		46837	37260	1846				
2020-12-05	Afghanistan		47072	37393	1864				
2020-12-06	Afghanistan		47306	37685	1874				
2020-12-07	Afghanistan		47516	37879	1900				
2020-12-08	Afghanistan		47716	37920	1906				
2020-12-09	Afghanistan		47851	38032	1919				
2020-12-10	Afghanistan		48053	38099	1935				
2020-12-11	Afghanistan		48116	38141	1945				
2020-12-12	Afghanistan		48229	38200	1956				
2020-12-13	Afghanistan		48527	38250	1965				
2020-12-14	Afghanistan		48718	38252	1969				
2020-12-15	Afghanistan		48952	38336	1995				
2020-12-16	Afghanistan		49161	38475	2011				
2020-12-17	Afghanistan		49378	38505	2025				
2020-12-18	Afghanistan		49621	38540	2030				
2020-12-19	Afghanistan		49681	38613	2047				
2020-12-20	Afghanistan		49817	39006	2067				
2020-12-21	Afghanistan		50013	39508	2082				
2020-12-22	Afghanistan		50190	39585	2096				
2020-12-23	Afghanistan		50433	39692	2117				
2020-12-24	Afghanistan		50655	40359	2126				
2020-12-25	Afghanistan		50810	40444	2139				
2020-12-26	Afghanistan		50886	40784	2149				
2020-12-27	Afghanistan		51039	41096	2160				
2020-01-22	Australia	Australian	Capital	Territory	0	0	0		
2020-01-23	Australia	Australian	Capital	Territory	0	0	0		
2020-01-24	Australia	Australian	Capital	Territory	0	0	0		
2020-01-25	Australia	Australian	Capital	Territory	0	0	0		
2020-01-26	Australia	Australian	Capital	Territory	0	0	0		
2020-01-27	Australia	Australian	Capital	Territory	0	0	0		
2020-01-28	Australia	Australian	Capital	Territory	0	0	0		
2020-01-29	Australia	Australian	Capital	Territory	0	0	0		
2020-01-30	Australia	Australian	Capital	Territory	0	0	0		
2020-01-31	Australia	Australian	Capital	Territory	0	0	0		
2020-02-01	Australia	Australian	Capital	Territory	0	0	0		
2020-02-02	Australia	Australian	Capital	Territory	0	0	0		
2020-02-03	Australia	Australian	Capital	Territory	0	0	0		
2020-02-04	Australia	Australian	Capital	Territory	0	0	0		
2020-02-05	Australia	Australian	Capital	Territory	0	0	0		
2020-02-06	Australia	Australian	Capital	Territory	0	0	0		
2020-02-07	Australia	Australian	Capital	Territory	0	0	0		
2020-02-08	Australia	Australian	Capital	Territory	0	0	0		
2020-02-09	Australia	Australian	Capital	Territory	0	0	0		
2020-02-10	Australia	Australian	Capital	Territory	0	0	0		
2020-02-11	Australia	Australian	Capital	Territory	0	0	0		
2020-02-12	Australia	Australian	Capital	Territory	0	0	0		
2020-02-13	Australia	Australian	Capital	Territory	0	0	0		
2020-02-14	Australia	Australian	Capital	Territory	0	0	0		
2020-02-15	Australia	Australian	Capital	Territory	0	0	0		
2020-02-16	Australia	Australian	Capital	Territory	0	0	0		
2020-02-17	Australia	Australian	Capital	Territory	0	0	0		
2020-02-18	Australia	Australian	Capital	Territory	0	0	0		
2020-02-19	Australia	Australian	Capital	Territory	0	0	0		
2020-02-20	Australia	Australian	Capital	Territory	0	0	0		
2020-02-21	Australia	Australian	Capital	Territory	0	0	0		
2020-02-22	Australia	Australian	Capital	Territory	0	0	0		
2020-02-23	Australia	Australian	Capital	Territory	0	0	0		
2020-02-24	Australia	Australian	Capital	Territory	0	0	0		
2020-02-25	Australia	Australian	Capital	Territory	0	0	0		
2020-02-26	Australia	Australian	Capital	Territory	0	0	0		
2020-02-27	Australia	Australian	Capital	Territory	0	0	0		
2020-02-28	Australia	Australian	Capital	Territory	0	0	0		
2020-02-29	Australia	Australian	Capital	Territory	0	0	0		
2020-03-01	Australia	Australian	Capital	Territory	0	0	0		
2020-03-02	Australia	Australian	Capital	Territory	0	0	0		
2020-03-03	Australia	Australian	Capital	Territory	0	0	0		
2020-03-04	Australia	Australian	Capital	Territory	0	0	0		
2020-03-05	Australia	Australian	Capital	Territory	0	0	0		
2020-03-06	Australia	Australian	Capital	Territory	0	0	0		
2020-03-07	Australia	Australian	Capital	Territory	0	0	0		
2020-03-08	Australia	Australian	Capital	Territory	0	0	0		
2020-03-09	Australia	Australian	Capital	Territory	0	0	0		
2020-03-10	Australia	Australian	Capital	Territory	0	0	0		
2020-03-11	Australia	Australian	Capital	Territory	0	0	0		
2020-03-12	Australia	Australian	Capital	Territory	0	0	0		
2020-03-13	Australia	Australian	Capital	Territory	1	0	0		
2020-03-14	Australia	Australian	Capital	Territory	1	0	0		
2020-03-15	Australia	Australian	Capital	Territory	1	0	0		
2020-03-16	Australia	Australian	Capital	Territory	2	0	0		
2020-03-17	Australia	Australian	Capital	Territory	2	0	0		
2020-03-18	Australia	Australian	Capital	Territory	3	0	0		
2020-03-19	Australia	Australian	Capital	Territory	4	0	0		
2020-03-20	Australia	Australian	Capital	Territory	6	0	0		
2020-03-21	Australia	Australian	Capital	Territory	9	0	0		
2020-03-22	Australia	Australian	Capital	Territory	19	0	0		
2020-03-23	Australia	Australian	Capital	Territory	32	0	0		
2020-03-24	Australia	Australian	Capital	Territory	39	0	0		
2020-03-25	Australia	Australian	Capital	Territory	39	0	0		
2020-03-26	Australia	Australian	Capital	Territory	53	1	0		
2020-03-27	Australia	Australian	Capital	Territory	62	1	0		
2020-03-28	Australia	Australian	Capital	Territory	71	2	0		
2020-03-29	Australia	Australian	Capital	Territory	77	2	0		
2020-03-30	Australia	Australian	Capital	Territory	78	2	1		
2020-03-31	Australia	Australian	Capital	Territory	80	3	1		
2020-04-01	Australia	Australian	Capital	Territory	84	8	1		
2020-04-02	Australia	Australian	Capital	Territory	87	11	1		
2020-04-03	Australia	Australian	Capital	Territory	91	18	1		
2020-04-04	Australia	Australian	Capital	Territory	93	18	2		
2020-04-05	Australia	Australian	Capital	Territory	96	28	2		
2020-04-06	Australia	Australian	Capital	Territory	96	40	2		
2020-04-07	Australia	Australian	Capital	Territory	96	40	2		
2020-04-08	Australia	Australian	Capital	Territory	99	40	2		
2020-04-09	Australia	Australian	Capital	Territory	100	47	2		
2020-04-10	Australia	Australian	Capital	Territory	103	59	2		
2020-04-11	Australia	Australian	Capital	Territory	103	59	2		
2020-04-12	Australia	Australian	Capital	Territory	103	59	2		
2020-04-13	Australia	Australian	Capital	Territory	102	59	2		
2020-04-14	Australia	Australian	Capital	Territory	103	72	2		
2020-04-15	Australia	Australian	Capital	Territory	103	72	3		
2020-04-16	Australia	Australian	Capital	Territory	103	82	3		
2020-04-17	Australia	Australian	Capital	Territory	103	81	3		
2020-04-18	Australia	Australian	Capital	Territory	103	88	3		
2020-04-19	Australia	Australian	Capital	Territory	103	88	3		
2020-04-20	Australia	Australian	Capital	Territory	104	91	3		
2020-04-21	Australia	Australian	Capital	Territory	104	92	3		
2020-04-22	Australia	Australian	Capital	Territory	104	93	3		
2020-04-23	Australia	Australian	Capital	Territory	104	93	3		
2020-04-24	Australia	Australian	Capital	Territory	105	97	3		
2020-04-25	Australia	Australian	Capital	Territory	106	98	3		
2020-04-26	Australia	Australian	Capital	Territory	106	99	3		
2020-04-27	Australia	Australian	Capital	Territory	106	100	3		
2020-04-28	Australia	Australian	Capital	Territory	106	101	3		
2020-04-29	Australia	Australian	Capital	Territory	106	101	3		
2020-04-30	Australia	Australian	Capital	Territory	106	103	3		
2020-05-01	Australia	Australian	Capital	Territory	106	103	3		
2020-05-02	Australia	Australian	Capital	Territory	106	103	3		
2020-05-03	Australia	Australian	Capital	Territory	106	103	3		
2020-05-04	Australia	Australian	Capital	Territory	107	103	3		
2020-05-05	Australia	Australian	Capital	Territory	107	103	3		
2020-05-06	Australia	Australian	Capital	Territory	107	103	3		
2020-05-07	Australia	Australian	Capital	Territory	107	103	3		
2020-05-08	Australia	Australian	Capital	Territory	107	103	3		
2020-05-09	Australia	Australian	Capital	Territory	107	104	3		
2020-05-10	Australia	Australian	Capital	Territory	107	104	3		
2020-05-11	Australia	Australian	Capital	Territory	107	104	3		
2020-05-12	Australia	Australian	Capital	Territory	107	104	3		
2020-05-13	Australia	Australian	Capital	Territory	107	104	3		
2020-05-14	Australia	Australian	Capital	Territory	107	104	3		
2020-05-15	Australia	Australian	Capital	Territory	107	104	3		
2020-05-16	Australia	Australian	Capital	Territory	107	104	3		
2020-05-17	Australia	Australian	Capital	Territory	107	104	3		
2020-05-18	Australia	Australian	Capital	Territory	107	104	3		
2020-05-19	Australia	Australian	Capital	Territory	107	104	3		
2020-05-20	Australia	Australian	Capital	Territory	107	104	3		
2020-05-21	Australia	Australian	Capital	Territory	107	104	3		
2020-05-22	Australia	Australian	Capital	Territory	107	104	3		
2020-05-23	Australia	Australian	Capital	Territory	107	104	3		
2020-05-24	Australia	Australian	Capital	Territory	107	104	3		
2020-05-25	Australia	Australian	Capital	Territory	107	104	3		
2020-05-26	Australia	Australian	Capital	Territory	107	104	3		
2020-05-27	Australia	Australian	Capital	Territory	107	104	3		
2020-05-28	Australia	Australian	Capital	Territory	107	104	3		
2020-05-29	Australia	Australian	Capital	Territory	107	104	3		
2020-05-30	Australia	Australian	Capital	Territory	107	104	3		
2020-05-31	Australia	Australian	Capital	Territory	107	104	3		
2020-06-01	Australia	Australian	Capital	Territory	107	104	3		
2020-06-02	Australia	Australian	Capital	Territory	107	104	3		
2020-06-03	Australia	Australian	Capital	Territory	107	104	3		
2020-06-04	Australia	Australian	Capital	Territory	107	104	3		
2020-06-05	Australia	Australian	Capital	Territory	107	104	3		
2020-06-06	Australia	Australian	Capital	Territory	108	104	3		
2020-06-07	Australia	Australian	Capital	Territory	108	104	3		
2020-06-08	Australia	Australian	Capital	Territory	108	104	3		
2020-06-09	Australia	Australian	Capital	Territory	108	104	3		
2020-06-10	Australia	Australian	Capital	Territory	108	104	3		
2020-06-11	Australia	Australian	Capital	Territory	108	104	3		
2020-06-12	Australia	Australian	Capital	Territory	108	104	3		
2020-06-13	Australia	Australian	Capital	Territory	108	104	3		
2020-06-14	Australia	Australian	Capital	Territory	108	104	3		
2020-06-15	Australia	Australian	Capital	Territory	108	104	3		
2020-06-16	Australia	Australian	Capital	Territory	108	105	3		
2020-06-17	Australia	Australian	Capital	Territory	108	105	3		
2020-06-18	Australia	Australian	Capital	Territory	108	105	3		
2020-06-19	Australia	Australian	Capital	Territory	108	105	3		
2020-06-20	Australia	Australian	Capital	Territory	108	105	3		
2020-06-21	Australia	Australian	Capital	Territory	108	105	3		
2020-06-22	Australia	Australian	Capital	Territory	108	105	3		
2020-06-23	Australia	Australian	Capital	Territory	108	105	3		
2020-06-24	Australia	Australian	Capital	Territory	108	105	3		
2020-06-25	Australia	Australian	Capital	Territory	108	105	3		
2020-06-26	Australia	Australian	Capital	Territory	108	105	3		
2020-06-27	Australia	Australian	Capital	Territory	108	105	3		
2020-06-28	Australia	Australian	Capital	Territory	108	105	3		
2020-06-29	Australia	Australian	Capital	Territory	108	105	3		
2020-06-30	Australia	Australian	Capital	Territory	108	105	3		
2020-07-01	Australia	Australian	Capital	Territory	108	105	3		
2020-07-02	Australia	Australian	Capital	Territory	108	105	3		
2020-07-03	Australia	Australian	Capital	Territory	108	105	3		
2020-07-04	Australia	Australian	Capital	Territory	108	105	3		
2020-07-05	Australia	Australian	Capital	Territory	108	105	3		
2020-07-06	Australia	Australian	Capital	Territory	108	105	3		
2020-07-07	Australia	Australian	Capital	Territory	111	105	3		
2020-07-08	Australia	Australian	Capital	Territory	112	105	3		
2020-07-09	Australia	Australian	Capital	Territory	113	105	3		
2020-07-10	Australia	Australian	Capital	Territory	113	105	3		
2020-07-11	Australia	Australian	Capital	Territory	113	105	3		
2020-07-12	Australia	Australian	Capital	Territory	113	105	3		
2020-07-13	Australia	Australian	Capital	Territory	113	105	3		
2020-07-14	Australia	Australian	Capital	Territory	113	105	3		
2020-07-15	Australia	Australian	Capital	Territory	113	105	3		
2020-07-16	Australia	Australian	Capital	Territory	113	105	3		
2020-07-17	Australia	Australian	Capital	Territory	113	105	3		
2020-07-18	Australia	Australian	Capital	Territory	113	105	3		
2020-07-19	Australia	Australian	Capital	Territory	113	107	3		
2020-07-20	Australia	Australian	Capital	Territory	113	107	3		
2020-07-21	Australia	Australian	Capital	Territory	113	107	3		
2020-07-22	Australia	Australian	Capital	Territory	113	109	3		
2020-07-23	Australia	Australian	Capital	Territory	113	109	3		
2020-07-24	Australia	Australian	Capital	Territory	113	109	3		
2020-07-25	Australia	Australian	Capital	Territory	113	109	3		
2020-07-26	Australia	Australian	Capital	Territory	113	109	3		
2020-07-27	Australia	Australian	Capital	Territory	113	109	3		
2020-07-28	Australia	Australian	Capital	Territory	113	109	3		
2020-07-29	Australia	Australian	Capital	Territory	113	109	3		
2020-07-30	Australia	Australian	Capital	Territory	113	109	3		
2020-07-31	Australia	Australian	Capital	Territory	113	110	3		
2020-08-01	Australia	Australian	Capital	Territory	113	110	3		
2020-08-02	Australia	Australian	Capital	Territory	113	110	3		
2020-08-03	Australia	Australian	Capital	Territory	113	110	3		
2020-08-04	Australia	Australian	Capital	Territory	113	110	3		
2020-08-05	Australia	Australian	Capital	Territory	113	110	3		
2020-08-06	Australia	Australian	Capital	Territory	113	110	3		
2020-08-07	Australia	Australian	Capital	Territory	113	110	3		
2020-08-08	Australia	Australian	Capital	Territory	113	110	3		
2020-08-09	Australia	Australian	Capital	Territory	113	110	3		
2020-08-10	Australia	Australian	Capital	Territory	113	110	3		
2020-08-11	Australia	Australian	Capital	Territory	113	110	3		
2020-08-12	Australia	Australian	Capital	Territory	113	110	3		
